timestamp,W1 (m),W2 (m),W3 (m),W4 (m),W5 (m),L1 (m),L2 (m),L3 (m),L4 (m),L5 (m),Vdd (V),Vi (V),Vin1_dc (V),Vin2_dc (V),Vin1_ac (V),Vin2_ac (V),gain_db,bandwidth (Hz),phase_margin,region5,Fom,SR,PSRR,CMRR,fit_b0,fit_b1,fit_b2,fit_a1,fit_a2
five_stage_amp_20250523_222035.raw,5.41e-06,5.41e-06,3.5e-06,3.5e-06,2.8e-06,2.4000000000000003e-07,2.4000000000000003e-07,2.1e-07,2.1e-07,1.6e-07,1.2,0.16,0.17,0.17,0.01,-0.01,31.175563423616723,6606.934480076051,90.63527708852205,6.142056212828526e-08,3353517092355.558,91457.67823997515,26.27452163618494,9.591938502537436,36.20580238671018,2.155652194149203e-07,-6.371371449307719e-16,2.5014841607601597e-05,4.388921030867225e-13
five_stage_amp_20250523_222037.raw,1.6900000000000001e-06,1.6900000000000001e-06,9.000000000000001e-07,9.000000000000001e-07,4.58e-06,2.2e-07,2.2e-07,2.3e-07,2.3e-07,7e-08,1.2,0.42,0.89,0.89,0.005,-0.005,-20.138994874922226,83176377.11026947,179.99999929839612,0.0001126729612935344,-14866819981542.795,43753734.67384165,6.890783777095643,-41.72261971494287,0.09664965813567099,-1.514862990690311e-09,3.536819987661576e-19,-2.4496250470254716e-08,2.164915162891717e-17
five_stage_amp_20250523_222039.raw,5.13e-06,5.13e-06,4.1100000000000005e-06,4.1100000000000005e-06,3.2e-06,1.3e-07,1.3e-07,1.8e-07,1.8e-07,2.2e-07,1.2,0.9400000000000001,0.73,0.73,0.038,-0.038,10.055831901645575,125892541.1794204,106.83972145397827,0.0004914921895491711,2575736214511.285,224628235.5422005,10.43089852035643,-11.5277930193076,3.182702531109518,-2.2319968015940634e-08,1.7323322518948713e-19,-5.719150529256003e-09,-8.998637465746634e-18
five_stage_amp_20250523_222040.raw,3.05e-06,3.05e-06,5.33e-06,5.33e-06,5.5200000000000005e-06,2.2e-07,2.2e-07,1.9e-07,1.9e-07,2e-07,1.2,0.8,0.53,0.53,0.034,-0.034,43.8962931694538,1659586.907437598,85.78802955353997,0.0001230424999275175,592069516402.728,274861282.2796081,38.39249421120467,22.31266824849915,156.60825788101434,4.416857609011322e-09,-2.290747236835538e-20,9.933606783705276e-08,7.861733164202605e-18
five_stage_amp_20250523_222042.raw,4.97e-06,4.97e-06,1.98e-06,1.98e-06,3.9e-06,1.4e-07,1.4e-07,7e-08,7e-08,2.4000000000000003e-07,1.2,1.07,0.8200000000000001,0.8200000000000001,0.047,-0.047,23.760889419366595,57543993.7337173,91.97585336122343,0.0007779670742663807,1757524858163.0981,393498890.9498583,15.83517771459035,2.177264498411932,15.41858328515025,3.53685877408863e-11,-1.1075785233798924e-22,2.8443375026387328e-09,2.19889077581264e-20
five_stage_amp_20250523_222043.raw,1.84e-06,1.84e-06,3.45e-06,3.45e-06,1.93e-06,1.3e-07,1.3e-07,9e-08,9e-08,1.3e-07,1.2,0.34,0.07,0.07,0.028,-0.028,16.482639356121588,9120.108393559227,98.38291270774069,1.797936665989903e-08,8360887253890.53,5199063.986779094,19.0062714002567,-5.100985471540307,6.670144164892549,-2.1976077474560396e-07,4.1165087498267556e-16,1.8066676725502698e-05,-3.6558475048981594e-13
five_stage_amp_20250523_222045.raw,3.39e-06,3.39e-06,2.7200000000000002e-06,2.7200000000000002e-06,1.12e-06,1.4e-07,1.4e-07,9e-08,9e-08,6.000000000000001e-08,1.2,0.27,0.25,0.25,0.025,-0.025,31.401106973749236,131825.6738556431,90.8543565229241,1.306638242738642e-06,3168032245827.6753,27192051.58796544,26.56687181077181,9.817482053230137,37.158309285672864,-5.287078042804997e-08,5.728156728301694e-18,1.253722239889471e-06,-1.3511810370395957e-15
five_stage_amp_20250523_222046.raw,5.65e-06,5.65e-06,4.45e-06,4.45e-06,2.91e-06,2.3e-07,2.3e-07,1.4e-07,1.4e-07,9e-08,1.2,0.34,0.98,0.98,0.019,-0.019,41.06716811843741,436515.8322401749,88.60255908774083,1.503541031021641e-05,1192283329759.6157,16290019.11314984,33.32066863373547,19.48354319750591,113.07286751544709,5.599122054918718e-09,-1.5782099693487859e-19,3.7096128236711125e-07,5.953286165394274e-17
five_stage_amp_20250523_222048.raw,5.05e-06,5.05e-06,5.34e-06,5.34e-06,2.39e-06,1.5e-07,1.5e-07,1e-07,1e-07,1e-07,1.2,1.05,0.49,0.49,0.001,-0.001,35.58687052499262,6918309.709189535,88.39195170387111,0.0001715901145214111,1434820371554.7158,524642751.0331296,30.43888990295157,14.00325409671413,60.16500414882949,-4.0639449994920564e-08,6.128972546337712e-19,2.2950848833646372e-08,-1.5539571166534713e-17
five_stage_amp_20250523_222049.raw,4.31e-06,4.31e-06,1.2e-06,1.2e-06,5.48e-06,1.2000000000000002e-07,1.2000000000000002e-07,1.4e-07,1.4e-07,1.2000000000000002e-07,1.2,0.01,0.81,0.81,0.026000000000000002,-0.026000000000000002,33.2415796622929,691.8309709189432,90.6574190187125,5.978830342984533e-09,3846497226606.951,18966.26584594249,30.38708988801925,11.65796274154907,45.9282031600593,7.792947470495064e-07,-2.1569458757803987e-14,0.0002343700019251636,1.5770395767389907e-11
five_stage_amp_20250523_222051.raw,4.67e-06,4.67e-06,3.99e-06,3.99e-06,5.76e-06,2.3e-07,2.3e-07,1.5e-07,1.5e-07,2.1e-07,1.2,0.68,0.72,0.72,0.031,-0.031,35.882025792151985,9120108.393559325,86.18848580125272,0.0003970454869430548,824207742857.0602,264537112.9776287,26.86620559542835,14.2984008712155,60.68776312033052,-5.233637373689555e-06,4.152406587553971e-15,-1.500038933990858e-07,7.229279133964645e-16
five_stage_amp_20250523_222052.raw,1.21e-06,1.21e-06,4.94e-06,4.94e-06,3.8400000000000005e-06,1.9e-07,1.9e-07,2.2e-07,2.2e-07,1.8e-07,1.2,0.7000000000000001,0.5,0.5,0.048,-0.048,43.87595189956194,660693.44800761,87.21663928252332,4.489306269737391e-05,645724577548.8906,180027044.6989627,38.57514457476527,22.29234805910384,156.24210577465485,-9.698221594426905e-08,3.82591166592377e-18,2.5059657884652733e-07,-1.357055418706527e-16
five_stage_amp_20250523_222054.raw,5.9700000000000004e-06,5.9700000000000004e-06,3.54e-06,3.54e-06,1.14e-06,1.8e-07,1.8e-07,7e-08,7e-08,1.9e-07,1.2,0.02,0.84,0.84,0.043000000000000003,-0.043000000000000003,-10.65968433058737,10000.00000000014,179.99414509913447,7.543110261281271e-10,-141316830343891.4,645.2008505555884,3.602883440741172,-32.24332247333125,0.29309996636100394,-9.191979158591073e-09,-3.952344421225574e-15,1.6232245794949847e-05,2.312488203691671e-12
five_stage_amp_20250523_222056.raw,5.57e-06,5.57e-06,2.4e-06,2.4e-06,4.5500000000000005e-06,2.1e-07,2.1e-07,1.9e-07,1.9e-07,2.4000000000000003e-07,1.2,0.13,0.78,0.78,0.017,-0.017,41.791623588667036,1258.925411794181,89.45669416245146,3.546128923937558e-08,1483661143303.5557,44051.67105145636,38.10497105810045,20.20800270782317,122.90847959128476,-5.441241137524844e-06,1.4117276888651747e-14,0.0001293104698921532,-3.598349036315583e-12
